CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,Direction,Output
-81,-61,-73,-100,-71,-87,-79,-87,North,a14
-79,-61,-73,-100,-71,-82,-80,-88,North,a14
-81,-61,-73,-100,-69,-83,-80,-87,North,a14
-82,-59,-72,-100,-67,-79,-78,-87,North,a14
-82,-61,-74,-100,-69,-83,-81,-87,North,a14
-84,-60,-74,-100,-69,-82,-79,-90,North,a14
-80,-61,-74,-93,-69,-82,-81,-89,North,a14
-80,-61,-74,-100,-68,-88,-80,-88,North,a14
-81,-61,-73,-100,-68,-84,-80,-87,North,a14
-81,-61,-74,-100,-71,-83,-81,-89,North,a14
-82,-61,-74,-100,-70,-83,-79,-87,North,a14
-78,-60,-71,-100,-69,-82,-80,-87,North,a14
-81,-59,-73,-100,-66,-88,-77,-87,North,a14
-82,-61,-74,-100,-70,-89,-79,-88,North,a14
-82,-61,-75,-100,-70,-82,-80,-88,North,a14
-81,-61,-73,-100,-72,-88,-80,-87,North,a14
-81,-62,-74,-100,-71,-100,-80,-88,North,a14
-76,-61,-73,-100,-69,-87,-78,-89,North,a14
-82,-61,-73,-100,-70,-82,-79,-86,North,a14
-100,-62,-74,-100,-70,-100,-80,-89,North,a14
-82,-61,-73,-100,-70,-86,-81,-87,North,a14
-80,-61,-74,-100,-69,-87,-78,-87,North,a14
-82,-62,-73,-100,-70,-88,-80,-87,North,a14
-81,-61,-74,-100,-67,-83,-80,-88,North,a14
-81,-61,-72,-100,-68,-84,-79,-88,North,a14
-82,-61,-73,-100,-69,-82,-81,-86,North,a14
-82,-61,-73,-100,-68,-83,-80,-91,North,a14
-83,-61,-75,-100,-69,-83,-80,-87,North,a14
-82,-61,-74,-100,-69,-82,-80,-89,North,a14
-81,-60,-72,-100,-69,-81,-79,-90,North,a14
-84,-61,-74,-100,-68,-83,-77,-89,North,a14
-81,-60,-73,-100,-68,-81,-80,-88,North,a14
-77,-61,-73,-100,-69,-89,-81,-90,North,a14
-83,-59,-73,-100,-69,-82,-80,-90,North,a14
-79,-61,-75,-100,-65,-82,-78,-88,North,a14
-78,-60,-72,-100,-68,-83,-81,-87,North,a14
-82,-62,-72,-100,-68,-83,-80,-88,North,a14
-81,-60,-73,-100,-67,-83,-80,-87,North,a14
-81,-61,-72,-100,-70,-82,-79,-87,North,a14
-81,-61,-72,-100,-68,-81,-77,-89,North,a14
-82,-59,-72,-100,-69,-81,-79,-88,North,a14
-80,-60,-72,-100,-69,-83,-80,-86,North,a14
-70,-54,-70,-88,-80,-85,-64,-87,North,a15
-72,-55,-71,-89,-82,-84,-66,-88,North,a15
-70,-54,-71,-88,-82,-84,-66,-100,North,a15
-69,-54,-70,-88,-82,-85,-66,-89,North,a15
-68,-54,-70,-88,-79,-85,-64,-88,North,a15
-69,-54,-72,-100,-81,-82,-65,-88,North,a15
-69,-54,-72,-87,-81,-84,-64,-88,North,a15
-69,-54,-73,-88,-77,-82,-67,-87,North,a15
-67,-54,-70,-89,-83,-84,-65,-91,North,a15
-72,-54,-71,-90,-80,-85,-63,-87,North,a15
-69,-54,-70,-86,-80,-90,-65,-88,North,a15
-72,-55,-73,-91,-80,-86,-66,-90,North,a15
-73,-55,-71,-89,-78,-84,-66,-87,North,a15
-69,-54,-72,-90,-78,-84,-67,-89,North,a15
-71,-55,-73,-90,-77,-85,-67,-90,North,a15
-65,-55,-71,-88,-78,-84,-67,-92,North,a15
-68,-55,-70,-88,-80,-87,-67,-91,North,a15
-71,-54,-72,-90,-81,-90,-66,-90,North,a15
-70,-54,-71,-89,-80,-84,-63,-88,North,a15
